MMSI,BaseDateTime,LAT,LON,Heading,VesselName,CallSign,VesselType,Length,Width
441992000,2022-01-29T00:00:01,38.34255,-76.31773,340.0,ASIAN VISION,D8CU,70.0,199.0,32.0
636017062,2022-01-29T00:00:07,32.66403,-79.68946,137.0,CLOVER ACE,D5JC8,70.0,199.0,32.0
538003274,2022-01-29T00:00:01,30.51483,-118.44683,47.0,MOL DELIGHT,V7PR9,70.0,260.0,32.0
538005308,2022-01-29T00:00:01,30.40194,-118.18407,69.0,BANAK,V7CR2,70.0,208.0,29.0
209087000,2022-01-29T00:00:13,40.49018,-73.6071,38.0,CAPE PIONEER,5BUE4,70.0,271.0,43.0
477632400,2022-01-29T00:00:00,33.7497,-118.20885,59.0,CL ANZI HE,VRTT3,70.0,199.0,32.0
372724000,2022-01-29T00:00:06,29.16085,-117.19978,263.0,HAMBURG BRIDGE,3FVW2,70.0,336.0,45.0
351819000,2022-01-29T00:00:05,30.33037,-119.59507,230.0,MSC ALGHERO,3EVX2,74.0,300.0,48.0
366518000,2022-01-29T00:00:01,29.64483,-91.10703,298.0,ODYSSEA PHOENIX,WOYY,70.0,93.0,19.0
210065000,2022-01-29T00:00:01,27.35502,-83.57097,243.0,QUEEN B III,5BPK5,79.0,179.0,28.0
477195900,2022-01-29T00:00:00,28.67178,-89.32621,325.0,OCEAN INNOVATION,VRMA9,70.0,179.0,29.0
538005308,2022-01-29T00:00:00,30.36723,-118.14898,61.0,BANAK,V7CR2,70.0,208.0,29.0
316043882,2022-01-29T00:00:02,45.82198,-84.26308,102.0,ALGOMA INTREPID,VABC,70.0,198.0,24.0
432669000,2022-01-29T00:00:07,46.15112,-123.26255,65.0,HESTIA LEADER,7JDY,70.0,199.0,32.0
567556000,2022-01-29T00:00:05,48.9772,-123.77605,134.0,THOR FUTURE,HSB6314,70.0,189.0,32.0
477637500,2022-01-29T00:00:01,29.95359,-90.39267,148.0,OCEAN FORTUNE,VRNS6,70.0,179.0,30.0
367059850,2022-01-29T00:00:13,29.36157,-89.15185,511.0,ANNETTE_ADAMS,WDC6696,70.0,26.0,8.0
232024773,2022-01-29T00:00:09,29.62348,-117.45297,43.0,HYUNDAI MARS,MGGA6,74.0,324.0,48.0
416464000,2022-01-29T00:00:01,29.827,-117.2925,229.0,YM UNICORN,BLHI,70.0,333.0,42.0
367313160,2022-01-29T00:00:00,48.13684,-122.51746,511.0,SAN JUAN ENTERPRISE,WDD9563,70.0,27.0,6.0
636092950,2022-01-29T00:00:01,29.55248,-93.25513,321.0,RANGER,D5WU6,70.0,229.0,32.0
636017572,2022-01-29T00:00:02,48.83644,-123.02825,149.0,PORT VERA CRUZ,D5LP5,70.0,,
248923000,2022-01-29T00:00:07,40.69631,-74.14171,294.0,TORRENS,9HA4865,70.0,200.0,32.0
636017309,2022-01-29T00:00:01,30.0045,-117.38983,254.0,GROTON,ELZY3,70.0,212.0,30.0
414195000,2022-01-29T00:00:00,33.3436,-118.05309,339.0,REN JIAN 8,BVKQ5,70.0,264.0,32.0
244860255,2022-01-29T00:00:00,38.61847,-76.43402,182.0,SYMPHONY STAR,PCSX,70.0,122.0,
